"time (m)","v","V/min","wh"
0,47.53,0.000,0
  0.01,46.54,111.659,   0.0
  0.02,46.52,1.975,   0.0
  0.03,46.50,2.206,   0.1
  0.04,46.48,2.085,   0.1
  0.05,46.47,1.042,   0.1
  0.06,46.46,0.933,   0.1
  0.07,46.45,1.048,   0.2
  0.08,46.44,0.975,   0.2
  0.09,46.43,1.026,   0.2
  0.10,46.41,2.012,   0.2
  0.12,46.40,0.509,   0.3
  0.13,46.39,1.027,   0.3
  0.15,46.38,0.502,   0.3
  0.16,46.37,1.081,   0.3
  0.17,46.36,0.937,   0.4
  0.19,46.35,0.516,   0.4
  0.20,46.34,1.026,   0.4
  0.22,46.33,0.503,   0.5
  0.24,46.32,0.512,   0.5
  0.24,46.31,1.076,   0.5
  0.27,46.30,0.481,   0.6
  0.28,46.29,0.536,   0.6
  0.30,46.28,0.521,   0.7
  0.31,46.27,0.938,   0.7
  0.34,46.26,0.339,   0.8
  0.36,46.25,0.499,   0.8
  0.38,46.24,0.512,   0.9
  0.39,46.23,1.011,   0.9
  0.41,46.22,0.494,   0.9
  0.44,46.21,0.343,   1.0
  0.45,46.20,1.136,   1.0
  0.48,46.19,0.343,   1.1
  0.50,46.18,0.481,   1.1
  0.53,46.17,0.341,   1.2
  0.55,46.16,0.508,   1.2
  0.57,46.15,0.493,   1.3
  0.59,46.14,0.492,   1.3
  0.62,46.13,0.324,   1.4
  0.63,46.12,0.987,   1.4
  0.66,46.11,0.341,   1.5
  0.68,46.10,0.480,   1.5
  0.72,46.09,0.250,   1.6
  0.73,46.08,0.987,   1.6
  0.76,46.07,0.347,   1.7
  0.79,46.06,0.354,   1.7
  0.81,46.05,0.482,   1.8
  0.84,46.04,0.321,   1.9
  0.85,46.03,1.010,   1.9
  0.88,46.02,0.325,   1.9
  0.91,46.01,0.340,   2.0
  0.94,46.00,0.326,   2.1
  0.96,45.99,0.487,   2.1
  0.99,45.98,0.314,   2.2
  1.03,45.97,0.315,   2.3
  1.06,45.96,0.330,   2.3
  1.09,45.95,0.324,   2.4
  1.11,45.94,0.479,   2.4
  1.13,45.93,0.504,   2.5
  1.15,45.92,0.496,   2.5
  1.21,45.91,0.169,   2.7
  1.23,45.90,0.517,   2.7
  1.24,45.89,0.957,   2.7
  1.27,45.88,0.333,   2.8
  1.31,45.87,0.245,   2.9
  1.35,45.86,0.248,   3.0
  1.37,45.85,0.481,   3.0
  1.40,45.84,0.306,   3.1
  1.43,45.83,0.334,   3.1
  1.47,45.82,0.251,   3.2
  1.49,45.81,0.493,   3.3
  1.51,45.80,0.507,   3.3
  1.55,45.79,0.252,   3.4
  1.57,45.78,0.485,   3.5
  1.61,45.77,0.264,   3.5
  1.65,45.76,0.247,   3.6
  1.69,45.75,0.253,   3.7
  1.71,45.74,0.494,   3.8
  1.75,45.73,0.257,   3.8
  1.78,45.72,0.361,   3.9
  1.80,45.71,0.509,   3.9
  1.83,45.70,0.334,   4.0
  1.87,45.69,0.250,   4.1
  1.93,45.68,0.166,   4.2
  1.95,45.67,0.509,   4.3
  1.97,45.66,0.480,   4.3
  2.02,45.65,0.199,   4.4
  2.04,45.64,0.504,   4.5
  2.08,45.63,0.252,   4.5
  2.11,45.62,0.328,   4.6
  2.15,45.61,0.247,   4.7
  2.18,45.60,0.331,   4.8
  2.22,45.59,0.253,   4.8
  2.25,45.58,0.347,   4.9
  2.30,45.57,0.201,   5.0
  2.34,45.56,0.252,   5.1
  2.35,45.55,1.014,   5.1
  2.39,45.54,0.206,   5.2
  2.42,45.53,0.333,   5.3
  2.47,45.52,0.201,   5.4
  2.50,45.51,0.341,   5.5
  2.56,45.50,0.165,   5.6
  2.58,45.49,0.507,   5.6
  2.62,45.48,0.253,   5.7
  2.66,45.47,0.245,   5.8
  2.69,45.46,0.333,   5.9
  2.73,45.45,0.252,   6.0
  2.76,45.44,0.337,   6.0
  2.83,45.43,0.143,   6.2
  2.85,45.42,0.501,   6.2
  2.91,45.41,0.168,   6.3
  2.93,45.40,0.525,   6.4
  2.96,45.39,0.352,   6.4
  3.00,45.38,0.251,   6.5
  3.04,45.37,0.253,   6.6
  3.09,45.36,0.207,   6.7
  3.13,45.35,0.258,   6.8
  3.17,45.34,0.203,   6.9
  3.20,45.33,0.336,   7.0
  3.24,45.32,0.254,   7.0
  3.30,45.31,0.196,   7.2
  3.32,45.30,0.335,   7.2
  3.36,45.29,0.263,   7.3
  3.41,45.28,0.206,   7.4
  3.45,45.27,0.255,   7.5
  3.49,45.26,0.258,   7.6
  3.55,45.25,0.176,   7.7
  3.60,45.24,0.197,   7.8
  3.64,45.23,0.260,   7.9
  3.67,45.22,0.335,   7.9
  3.70,45.21,0.261,   8.0
  3.73,45.20,0.321,   8.1
  3.79,45.19,0.170,   8.2
  3.86,45.18,0.145,   8.4
  3.90,45.17,0.254,   8.4
  3.94,45.16,0.248,   8.5
  3.99,45.15,0.206,   8.6
  4.02,45.14,0.329,   8.7
  4.08,45.13,0.170,   8.8
  4.11,45.12,0.327,   8.9
  4.15,45.11,0.251,   9.0
  4.21,45.10,0.170,   9.1
  4.27,45.09,0.171,   9.2
  4.29,45.08,0.494,   9.3
  4.35,45.07,0.174,   9.4
  4.39,45.06,0.209,   9.5
  4.45,45.05,0.163,   9.6
  4.48,45.04,0.355,   9.7
  4.53,45.03,0.206,   9.8
  4.59,45.02,0.168,   9.9
  4.65,45.01,0.169,  10.0
  4.71,45.00,0.174,  10.1
  4.74,44.99,0.344,  10.2
  4.79,44.98,0.205,  10.3
  4.84,44.97,0.201,  10.4
  4.87,44.96,0.255,  10.5
  4.96,44.95,0.112,  10.7
  5.00,44.94,0.262,  10.7
  5.03,44.93,0.341,  10.8
  5.08,44.92,0.198,  10.9
  5.13,44.91,0.205,  11.0
  5.20,44.90,0.148,  11.2
  5.25,44.89,0.204,  11.3
  5.29,44.88,0.243,  11.3
  5.35,44.87,0.171,  11.5
  5.41,44.86,0.169,  11.6
  5.45,44.85,0.248,  11.7
  5.51,44.84,0.168,  11.8
  5.54,44.83,0.260,  11.9
  5.60,44.82,0.169,  12.0
  5.64,44.81,0.250,  12.1
  5.71,44.80,0.153,  12.2
  5.77,44.79,0.169,  12.3
  5.80,44.78,0.343,  12.4
  5.87,44.77,0.138,  12.6
  5.94,44.76,0.144,  12.7
  5.99,44.75,0.199,  12.8
  6.03,44.74,0.251,  12.9
  6.11,44.73,0.124,  13.1
  6.18,44.72,0.145,  13.2
  6.23,44.71,0.197,  13.3
  6.27,44.70,0.255,  13.4
  6.33,44.69,0.168,  13.5
  6.40,44.68,0.146,  13.6
  6.46,44.67,0.167,  13.8
  6.51,44.66,0.205,  13.9
  6.56,44.65,0.196,  14.0
  6.61,44.64,0.170,  14.1
  6.67,44.63,0.168,  14.2
  6.73,44.62,0.167,  14.3
  6.80,44.61,0.147,  14.5
  6.86,44.60,0.172,  14.6
  6.94,44.59,0.125,  14.8
  7.01,44.58,0.151,  14.9
  7.09,44.57,0.124,  15.1
  7.12,44.56,0.337,  15.1
  7.20,44.55,0.127,  15.3
  7.25,44.54,0.173,  15.4
  7.27,44.53,0.500,  15.5
  7.38,44.52,0.092,  15.7
  7.43,44.51,0.200,  15.8
  7.50,44.50,0.148,  15.9
  7.56,44.49,0.172,  16.0
  7.64,44.48,0.127,  16.2
  7.71,44.47,0.143,  16.3
  7.78,44.46,0.144,  16.5
  7.84,44.45,0.146,  16.6
  7.89,44.44,0.201,  16.7
  7.97,44.43,0.128,  16.9
  8.02,44.42,0.200,  17.0
  8.11,44.41,0.116,  17.2
  8.18,44.40,0.143,  17.3
  8.24,44.39,0.172,  17.4
  8.31,44.38,0.146,  17.6
  8.42,44.37,0.091,  17.8
  8.48,44.36,0.148,  17.9
  8.53,44.35,0.206,  18.0
  8.60,44.34,0.145,  18.2
  8.64,44.33,0.251,  18.2
  8.77,44.32,0.078,  18.5
  8.83,44.31,0.151,  18.6
  8.90,44.30,0.148,  18.8
  8.97,44.29,0.140,  18.9
  9.06,44.28,0.111,  19.1
  9.12,44.27,0.169,  19.2
  9.18,44.26,0.166,  19.3
  9.27,44.25,0.111,  19.5
  9.34,44.24,0.146,  19.7
  9.45,44.23,0.091,  19.9
  9.53,44.22,0.128,  20.0
  9.61,44.21,0.126,  20.2
  9.68,44.20,0.145,  20.3
  9.73,44.19,0.206,  20.4
  9.82,44.18,0.101,  20.6
  9.88,44.17,0.174,  20.8
 10.01,44.16,0.077,  21.0
 10.06,44.15,0.210,  21.1
 10.16,44.14,0.102,  21.3
 10.25,44.13,0.102,  21.5
 10.32,44.12,0.148,  21.6
 10.40,44.11,0.129,  21.8
 10.49,44.10,0.117,  22.0
 10.56,44.09,0.130,  22.1
 10.62,44.08,0.162,  22.3
 10.73,44.07,0.091,  22.5
 10.81,44.06,0.127,  22.6
 10.92,44.05,0.093,  22.9
 10.99,44.04,0.145,  23.0
 11.10,44.03,0.094,  23.2
 11.20,44.02,0.099,  23.4
 11.25,44.01,0.204,  23.5
 11.36,44.00,0.090,  23.7
 11.47,43.99,0.092,  23.9
 11.55,43.98,0.112,  24.1
 11.63,43.97,0.130,  24.3
 11.71,43.96,0.127,  24.4
 11.81,43.95,0.101,  24.6
 11.92,43.94,0.093,  24.8
 12.02,43.93,0.093,  25.1
 12.13,43.92,0.093,  25.3
 12.22,43.91,0.112,  25.5
 12.27,43.90,0.206,  25.6
 12.43,43.89,0.064,  25.9
 12.50,43.88,0.144,  26.0
 12.64,43.87,0.072,  26.3
 12.71,43.86,0.130,  26.4
 12.84,43.85,0.079,  26.7
 12.95,43.84,0.092,  26.9
 13.04,43.83,0.113,  27.1
 13.16,43.82,0.079,  27.3
 13.24,43.81,0.128,  27.5
 13.33,43.80,0.112,  27.7
 13.47,43.79,0.071,  27.9
 13.59,43.78,0.087,  28.2
 13.67,43.77,0.114,  28.3
 13.74,43.76,0.146,  28.5
 13.92,43.75,0.057,  28.8
 13.93,43.74,0.987,  28.8
 14.15,43.73,0.046,  29.3
 14.24,43.72,0.103,  29.5
 14.39,43.71,0.069,  29.8
 14.48,43.70,0.105,  29.9
 14.63,43.69,0.070,  30.2
 14.74,43.68,0.085,  30.5
 14.83,43.67,0.114,  30.6
 14.98,43.66,0.068,  30.9
 15.09,43.65,0.093,  31.1
 15.20,43.64,0.087,  31.4
 15.30,43.63,0.100,  31.6
 15.47,43.62,0.060,  31.9
 15.55,43.61,0.116,  32.1
 15.71,43.60,0.064,  32.4
 15.78,43.59,0.141,  32.5
 15.93,43.58,0.067,  32.8
 16.08,43.57,0.068,  33.1
 16.23,43.56,0.068,  33.4
 16.39,43.55,0.059,  33.7
 16.47,43.54,0.127,  33.9
 16.62,43.53,0.067,  34.2
 16.73,43.52,0.093,  34.4
 16.89,43.51,0.064,  34.7
 17.04,43.50,0.066,  35.0
 17.20,43.49,0.062,  35.3
 17.30,43.48,0.103,  35.5
 17.44,43.47,0.072,  35.8
 17.60,43.46,0.060,  36.1
 17.69,43.45,0.111,  36.3
 17.91,43.44,0.045,  36.7
 18.01,43.43,0.110,  36.9
 18.11,43.42,0.093,  37.1
 18.36,43.41,0.041,  37.5
 18.45,43.40,0.103,  37.7
 18.64,43.39,0.053,  38.1
 18.77,43.38,0.077,  38.4
 19.03,43.37,0.038,  38.9
 19.12,43.36,0.111,  39.0
 19.32,43.35,0.050,  39.4
 19.51,43.34,0.053,  39.8
 19.62,43.33,0.092,  40.0
 19.78,43.32,0.064,  40.3
 19.93,43.31,0.063,  40.6
 20.13,43.30,0.050,  41.0
 20.27,43.29,0.073,  41.3
 20.56,43.28,0.035,  41.8
 20.70,43.27,0.068,  42.1
 20.90,43.26,0.051,  42.5
 21.04,43.25,0.073,  42.8
 21.21,43.24,0.060,  43.1
 21.42,43.23,0.048,  43.5
 21.63,43.22,0.048,  43.9
 21.80,43.21,0.058,  44.2
 21.99,43.20,0.051,  44.6
 22.23,43.19,0.043,  45.1
 22.37,43.18,0.068,  45.3
 22.62,43.17,0.041,  45.8
 22.81,43.16,0.054,  46.2
 23.00,43.15,0.051,  46.6
 23.31,43.14,0.033,  47.1
 23.42,43.13,0.092,  47.4
 23.77,43.12,0.029,  48.0
 23.87,43.11,0.096,  48.2
 24.14,43.10,0.037,  48.7
 24.31,43.09,0.060,  49.1
 24.56,43.08,0.040,  49.6
 24.91,43.07,0.029,  50.2
 25.07,43.06,0.063,  50.5
 25.36,43.05,0.034,  51.1
 25.59,43.04,0.043,  51.5
 25.87,43.03,0.035,  52.1
 26.10,43.02,0.044,  52.5
 26.47,43.01,0.027,  53.2
 26.66,43.00,0.053,  53.6
 26.81,42.99,0.068,  53.9
 27.20,42.98,0.026,  54.6
 27.48,42.97,0.035,  55.1
 27.78,42.96,0.034,  55.7
 28.05,42.95,0.037,  56.2
 28.37,42.94,0.031,  56.8
 28.52,42.93,0.068,  57.1
 28.96,42.92,0.023,  58.0
 29.20,42.91,0.043,  58.4
 29.47,42.90,0.036,  58.9
 29.83,42.89,0.028,  59.6
 30.15,42.88,0.031,  60.2
 30.55,42.87,0.025,  61.0
 30.75,42.86,0.050,  61.4
 31.30,42.85,0.018,  62.4
 31.46,42.84,0.061,  62.7
 31.92,42.83,0.022,  63.6
 32.17,42.82,0.040,  64.1
 32.49,42.81,0.032,  64.7
 32.83,42.80,0.029,  65.3
 33.14,42.79,0.032,  65.9
 33.77,42.78,0.016,  67.1
 34.02,42.77,0.040,  67.6
 34.40,42.76,0.026,  68.3
 34.86,42.75,0.022,  69.2
 35.05,42.74,0.051,  69.5
 35.61,42.73,0.018,  70.6
 35.92,42.72,0.032,  71.2
 36.45,42.71,0.019,  72.2
 36.91,42.70,0.022,  73.0
 37.33,42.69,0.024,  73.8
 37.82,42.68,0.020,  74.8
 38.28,42.67,0.022,  75.6
 38.55,42.66,0.037,  76.1
 38.95,42.65,0.025,  76.9
 39.57,42.64,0.016,  78.1
 39.92,42.63,0.029,  78.7
 40.35,42.62,0.023,  79.5
 40.74,42.61,0.026,  80.3
 41.56,42.60,0.012,  81.8
 41.77,42.59,0.048,  82.2
 42.51,42.58,0.013,  83.6
 42.83,42.57,0.031,  84.2
 42.95,42.56,0.086,  84.4
 43.77,42.55,0.012,  85.9
 44.13,42.54,0.028,  86.6
 44.85,42.53,0.014,  88.0
 45.29,42.52,0.022,  88.8
 45.88,42.51,0.017,  89.9
 46.29,42.50,0.024,  90.7
 47.02,42.49,0.014,  92.0
 47.30,42.48,0.035,  92.5
 47.70,42.47,0.025,  93.3
 48.36,42.46,0.015,  94.5
 48.86,42.45,0.020,  95.5
 49.35,42.44,0.020,  96.4
 49.82,42.43,0.021,  97.2
 50.51,42.42,0.014,  98.5
 50.98,42.41,0.021,  99.4
 51.31,42.40,0.030, 100.0
 52.04,42.39,0.014, 101.4
 52.43,42.38,0.026, 102.1
 52.87,42.37,0.023, 102.9
 53.25,42.36,0.026, 103.6
 54.03,42.35,0.013, 105.1
 54.36,42.34,0.031, 105.7
 54.75,42.33,0.025, 106.4
 55.21,42.32,0.022, 107.3
 55.61,42.31,0.025, 108.0
 56.23,42.30,0.016, 109.2
 56.53,42.29,0.033, 109.7
 57.07,42.28,0.019, 110.7
 57.67,42.27,0.017, 111.8
 58.15,42.26,0.021, 112.7
 58.49,42.25,0.030, 113.3
 59.01,42.24,0.019, 114.3
 59.42,42.23,0.024, 115.1
 59.79,42.22,0.027, 115.7
 60.40,42.21,0.017, 116.9
 60.66,42.20,0.038, 117.3
 61.27,42.19,0.016, 118.5
 61.51,42.18,0.042, 118.9
 62.10,42.17,0.017, 120.0
 62.48,42.16,0.026, 120.7
 63.01,42.15,0.019, 121.7
 63.45,42.14,0.023, 122.5
 63.73,42.13,0.035, 123.0
 64.13,42.12,0.025, 123.7
 64.49,42.11,0.027, 124.4
 64.94,42.10,0.022, 125.2
 65.37,42.09,0.023, 126.0
 65.83,42.08,0.022, 126.8
 66.04,42.07,0.046, 127.2
 66.48,42.06,0.023, 128.0
 66.85,42.05,0.027, 128.7
 67.13,42.04,0.036, 129.2
 67.63,42.03,0.020, 130.1
 68.02,42.02,0.026, 130.8
 68.53,42.01,0.020, 131.8
 68.77,42.00,0.041, 132.2
 69.22,41.99,0.022, 133.0
 69.56,41.98,0.030, 133.7
 69.86,41.97,0.033, 134.2
 70.23,41.96,0.027, 134.9
 70.44,41.95,0.048, 135.3
 70.90,41.94,0.022, 136.1
 71.23,41.93,0.030, 136.7
 71.61,41.92,0.026, 137.4
 71.89,41.91,0.036, 137.9
 72.33,41.90,0.022, 138.7
 72.62,41.89,0.035, 139.2
 72.90,41.88,0.036, 139.7
 73.44,41.87,0.018, 140.7
 73.62,41.86,0.056, 141.0
 73.93,41.85,0.032, 141.6
 74.31,41.84,0.026, 142.3
 74.57,41.83,0.037, 142.8
 75.01,41.82,0.023, 143.6
 75.42,41.81,0.024, 144.3
 75.71,41.80,0.034, 144.8
 75.99,41.79,0.036, 145.3
 76.34,41.78,0.029, 146.0
 76.52,41.77,0.057, 146.3
 76.89,41.76,0.027, 147.0
 77.24,41.75,0.029, 147.6
 77.48,41.74,0.041, 148.0
 77.66,41.73,0.054, 148.4
 78.12,41.72,0.022, 149.2
 78.39,41.71,0.036, 149.7
 78.59,41.70,0.050, 150.0
 78.99,41.69,0.025, 150.7
 79.16,41.68,0.057, 151.1
 79.56,41.67,0.025, 151.8
 79.81,41.66,0.040, 152.2
 80.20,41.65,0.026, 152.9
 80.46,41.64,0.039, 153.4
 80.53,41.63,0.142, 153.5
 80.97,41.62,0.023, 154.3
 81.22,41.61,0.041, 154.7
 81.46,41.60,0.040, 155.2
 81.67,41.59,0.049, 155.6
 82.04,41.58,0.027, 156.2
 82.25,41.57,0.048, 156.6
 82.51,41.56,0.037, 157.1
 82.75,41.55,0.043, 157.5
 82.97,41.54,0.045, 157.9
 83.30,41.53,0.030, 158.5
 83.54,41.52,0.041, 158.9
 83.78,41.51,0.042, 159.3
 84.03,41.50,0.040, 159.8
 84.36,41.49,0.031, 160.4
 84.57,41.48,0.046, 160.7
 84.84,41.47,0.037, 161.2
 85.04,41.46,0.051, 161.6
 85.25,41.45,0.047, 161.9
 85.55,41.44,0.033, 162.5
 85.77,41.43,0.044, 162.9
 86.00,41.42,0.043, 163.3
 86.19,41.41,0.054, 163.6
 86.52,41.40,0.030, 164.2
 86.74,41.39,0.047, 164.6
 86.94,41.38,0.050, 164.9
 87.15,41.37,0.046, 165.3
 87.36,41.36,0.048, 165.7
 87.63,41.35,0.037, 166.2
 87.79,41.34,0.064, 166.4
 88.09,41.33,0.033, 167.0
 88.29,41.32,0.049, 167.3
 88.58,41.31,0.035, 167.8
 88.71,41.30,0.077, 168.1
 88.93,41.29,0.045, 168.5
 89.16,41.28,0.044, 168.9
 89.32,41.27,0.060, 169.2
 89.64,41.26,0.032, 169.7
 89.77,41.25,0.077, 169.9
 90.00,41.24,0.042, 170.4
 90.18,41.23,0.056, 170.7
 90.47,41.22,0.034, 171.2
 90.61,41.21,0.073, 171.4
 90.78,41.20,0.059, 171.7
 91.05,41.19,0.038, 172.2
 91.18,41.18,0.072, 172.4
 91.45,41.17,0.038, 172.9
 91.61,41.16,0.063, 173.2
 91.87,41.15,0.038, 173.6
 92.01,41.14,0.072, 173.9
 92.20,41.13,0.052, 174.2
 92.40,41.12,0.051, 174.6
 92.61,41.11,0.048, 174.9
 92.79,41.10,0.055, 175.2
 92.91,41.09,0.085, 175.4
 93.17,41.08,0.039, 175.9
 93.34,41.07,0.056, 176.2
 93.65,41.06,0.033, 176.7
 93.72,41.05,0.143, 176.9
 94.00,41.04,0.035, 177.4
 94.19,41.03,0.054, 177.7
 94.32,41.02,0.074, 177.9
 94.52,41.01,0.051, 178.3
 94.72,41.00,0.050, 178.6
 94.89,40.99,0.056, 178.9
 95.07,40.98,0.057, 179.2
 95.31,40.97,0.042, 179.6
 95.46,40.96,0.064, 179.9
 95.63,40.95,0.061, 180.2
 95.80,40.94,0.057, 180.5
 95.92,40.93,0.083, 180.7
 96.19,40.92,0.038, 181.2
 96.33,40.91,0.071, 181.4
 96.52,40.90,0.052, 181.7
 96.65,40.89,0.079, 181.9
 96.93,40.88,0.035, 182.4
 97.07,40.87,0.073, 182.7
 97.15,40.86,0.122, 182.8
 97.37,40.85,0.046, 183.2
 97.53,40.84,0.062, 183.5
 97.81,40.83,0.035, 184.0
 97.91,40.82,0.101, 184.1
 98.08,40.81,0.059, 184.4
 98.26,40.80,0.055, 184.7
 98.38,40.79,0.086, 184.9
 98.56,40.78,0.056, 185.2
 98.70,40.77,0.072, 185.5
 98.88,40.76,0.054, 185.8
 98.99,40.75,0.094, 186.0
 99.28,40.74,0.035, 186.5
 99.41,40.73,0.077, 186.7
 99.60,40.72,0.051, 187.0
 99.72,40.71,0.086, 187.2
 99.94,40.70,0.046, 187.6
100.09,40.69,0.064, 187.9
100.17,40.68,0.126, 188.0
100.35,40.67,0.057, 188.3
100.51,40.66,0.061, 188.6
100.71,40.65,0.051, 188.9
100.88,40.64,0.059, 189.2
101.06,40.63,0.055, 189.5
101.17,40.62,0.092, 189.7
101.34,40.61,0.059, 190.0
101.45,40.60,0.086, 190.2
101.59,40.59,0.073, 190.4
101.80,40.58,0.048, 190.8
101.90,40.57,0.093, 191.0
102.11,40.56,0.049, 191.3
102.21,40.55,0.101, 191.5
102.38,40.54,0.057, 191.8
102.50,40.53,0.086, 192.0
102.67,40.52,0.060, 192.3
102.80,40.51,0.077, 192.5
102.99,40.50,0.052, 192.8
103.20,40.49,0.047, 193.2
103.26,40.48,0.167, 193.3
103.53,40.47,0.038, 193.7
103.61,40.46,0.126, 193.9
103.78,40.45,0.056, 194.2
103.88,40.44,0.101, 194.3
104.03,40.43,0.070, 194.6
104.18,40.42,0.064, 194.8
104.31,40.41,0.077, 195.1
104.43,40.40,0.086, 195.3
104.60,40.39,0.060, 195.5
104.77,40.38,0.057, 195.8
104.90,40.37,0.075, 196.1
105.06,40.36,0.065, 196.3
105.16,40.35,0.102, 196.5
105.31,40.34,0.066, 196.7
105.46,40.33,0.066, 197.0
105.61,40.32,0.067, 197.2
105.76,40.31,0.064, 197.5
105.87,40.30,0.094, 197.7
106.04,40.29,0.060, 198.0
106.17,40.28,0.078, 198.2
106.33,40.27,0.060, 198.5
106.44,40.26,0.093, 198.6
106.55,40.25,0.092, 198.8
106.72,40.24,0.057, 199.1
106.87,40.23,0.068, 199.4
107.02,40.22,0.067, 199.6
107.12,40.21,0.101, 199.8
107.29,40.20,0.057, 200.1
107.41,40.19,0.083, 200.3
107.52,40.18,0.092, 200.5
107.75,40.17,0.044, 200.8
107.82,40.16,0.145, 201.0
107.94,40.15,0.083, 201.2
108.10,40.14,0.063, 201.4
108.23,40.13,0.073, 201.6
108.33,40.12,0.101, 201.8
108.53,40.11,0.051, 202.1
108.60,40.10,0.143, 202.3
108.70,40.09,0.095, 202.4
108.87,40.08,0.060, 202.7
109.00,40.07,0.074, 202.9
109.14,40.06,0.074, 203.2
109.25,40.05,0.087, 203.3
109.42,40.04,0.060, 203.6
109.54,40.03,0.086, 203.8
109.70,40.02,0.064, 204.1
109.79,40.01,0.105, 204.2
109.90,40.00,0.091, 204.4
110.05,39.99,0.068, 204.7
discharge reached: 204.7 watt hours consumed
